name,imdb_name,imdb_rate,imdb_ppl,storyline
Dev D," Dev.D (2009) aka ""Dev D"" ",8.0,30K,"Dev who, after spurning Paro's love due to a misunderstanding, turns to drugs and vodka for solace. Paro moves on but Dev still is in remorse. He meets Chanda, a prostitute with problems of her own. Dev likes her but his penchant for self-destruction prevents him and Chanda from truly getting together. He also meets sleazy people like Chunni, Chanda's pimp who drags Dev further into self-destruction to further his own needs. —Anonymous"
Paan Singh Tomar, Paan Singh Tomar (2012) ,8.2,35K,"Paan Singh Tomar is a Hindi-language film, based on the true story of a runner employed by the Army and has won Gold medal at Indian National Games but forced to become notorious baaghi. It is directed by Tigmanshu Dhulia. —Anonymous"
Udaan," Soorarai Pottru (2020) aka ""Udaan"" ",9.1,104K,"Inspired by the book 'Simply Fly', the film tells the story of Nedumaaran Rajangam known to friends as Maara, the son of a teacher, who sets out to make the common man fly and takes on the most capital intensive industry in the world with the help of his friends, family and sheer will power."
Hazaaron Khwaishein Aisi, Hazaaron Khwaishein Aisi (2003) ,7.9,4.9K,"Geeta Rao has two admirers - one is Siddharth Tyabji and the other is Vikram Malhotra circa 1969 West Bengal that is witnessing it's struggle against the ruling Congress party, joining forces with left-wing Marxist and Communist parties. While Siddharth is directly involved in this struggle, Geeta and Vikram are romantically involved. When Vikram does not make any move toward marriage, despite of being introduced to Geeta's Madras-based family, she decides to give up on him, and he starts his romance with another young woman. While students continue to voice their disapproval of Prime Minister Indira Gandhi, the Allahabad High Court gives a judgment indicting her for several offenses under the Representation of People Act. Mrs. Gandhi then uses her powers to clamp Emergency, taking away all powers of the judiciary, giving police virtually unlimited powers to the Police to detain anyone under the National Security Act, imprisoning leaders of all political parties, empowering her son, Sanjay Gandhi, to indiscriminately carry out Human Rights abuses in order to fulfill her ""Family Planning"" mandate, and her 20-point program. Vikram's father is one such person who is arrested and held in a cell. Siddharth also is on the run; Vikram, who was never a part of this struggle, himself becomes entangled in it. —rAjOo (gunwanti@hotmail.com)"
Maqbool, Maqbool (2003) ,8.1,10K,"Macbeth meets the Godfather in present-day Bombay. The Scottish tragedy set in the contemporary underworld of India's commercial capital; two corrupt, fortune telling policemen take the roles of the weird sisters, and ""Duncan"" is Abbaji, the head of a crime family. Abbaji's mistress and Maqbool plot and carry out his death; the sea plays the role of Birnham wood. —James McLeod"
Lagaan: Once Upon a Time in India, Lagaan: Once Upon a Time in India (2001) ,8.1,110K,"This is the story about the resilience shown by the Indians when they were under the British Rule. They are already taxed to the bone by the British and their cronies, but when Jack Russell announces that he will double the Lagaan (tax) from all villagers, they decide to oppose it. Leading the villagers is a handsome young man named Bhuvan, who challenges them to a game of cricket, a game that is to be played by veteran British cricket players, versus villagers, including Bhuvan himself, who have never played this game before, and do not even know a bat from a piece of wood. As the challenge is accepted, the interest grows and attracts Indians from all over the region, as well as the British from all over the country - as everyone gathers to see the 'fair play' that the British will display against their counter-parts, who are aided by none other than the sister, Elizabeth, of Captain Rusell. —Sumitra (corrected by Sonia)"
AI: Artificial Intelligence, A.I. Artificial Intelligence (2001) ,7.2,300K,"In the not-so-far future the polar ice caps have melted and the resulting rise of the ocean waters has drowned all the coastal cities of the world. Withdrawn to the interior of the continents, the human race keeps advancing, reaching the point of creating realistic robots (called mechas) to serve them. One of the mecha-producing companies builds David, an artificial kid which is the first to have real feelings, especially a never-ending love for his ""mother"", Monica. Monica is the woman who adopted him as a substitute for her real son, who remains in cryo-stasis, stricken by an incurable disease. David is living happily with Monica and her husband, but when their real son returns home after a cure is discovered, his life changes dramatically. —Chris Makrozahopoulos <makzax@hotmail.com>"
The Lady and the Duke, The Lady and the Duke (2001) ,6.9,2.7K,"An episodic look at Grace Elliott (1760-1823) and Philippe, the Duke of Orleans, during the French Revolution. In 1790, they are friends, no longer lovers. He suggests she leave France, she warns him to quit the Revolution. In 1792, she must escape Paris on foot. Less than a month later, she returns on an errand of mercy and shows great courage saving the governor of Tuileries. The Duke in turn steps in to protect Grace. In early 1793, she demands a promise from the Duke that he vote to spare Louis's life; he does not, and Grace is furious. In April, he warns her of a search; she is arrested and brought before the committee. Orleans, too, is suspect. The guillotine awaits. —<jhailey@hotmail.com>"
Silent Souls, Silent Souls (2010) ,6.7,2.3K,"Present days. A man and his companion go on a journey to cremate the dead body of the former beloved wife, on a riverbank in the area where they spent their honeymoon."
Me and You and Everyone We Know, Me and You and Everyone We Know (2005) ,7.3,36K,"'Me and You and Everyone We Know' is a poetic and penetrating observation of how people struggle to connect with one another in an isolating contemporary world. Christine Jesperson is a lonely artist and ""Eldercab"" driver who uses her fantastical artistic visions to draw her aspirations and objects of desire closer to her. Richard Swersey, a newly-single shoe salesman and father of two boys, is prepared for amazing things to happen, but when he meets the captivating Christine, he panics. Life is not so oblique for Richard's six-year-old Robby, who is having a risqué Internet romance with a stranger, or Robby's 14-year-old brother Peter, who becomes the guinea pig for neighborhood girls practicing for their future of romance and marriage. —Sujit R. Varma"
